# Step Timing Log
# Format: timestamp [Step N] MODE | total=Xms
# MODE: NORMAL = regular step, POST-CKPT = within 34 steps after checkpoint save
# Generated by train_phase8.py

2025-12-13T19:21:40.095938 [Step   3570] NORMAL       | total=5387.0ms | mode=NORMAL
2025-12-13T19:21:45.339654 [Step   3571] NORMAL       | total=5238.4ms | mode=NORMAL
2025-12-13T19:21:50.559483 [Step   3572] NORMAL       | total=5213.9ms | mode=NORMAL
2025-12-13T19:21:55.904366 [Step   3573] NORMAL       | total=5340.4ms | mode=NORMAL
2025-12-13T19:22:01.271565 [Step   3574] NORMAL       | total=5360.7ms | mode=NORMAL
2025-12-13T19:22:06.422861 [Step   3575] NORMAL       | total=5145.2ms | mode=NORMAL
2025-12-13T19:22:11.616951 [Step   3576] NORMAL       | total=5187.8ms | mode=NORMAL
2025-12-13T19:22:16.851417 [Step   3577] NORMAL       | total=5230.2ms | mode=NORMAL
2025-12-13T19:22:22.064876 [Step   3578] NORMAL       | total=5207.6ms | mode=NORMAL
2025-12-13T19:22:27.373821 [Step   3579] NORMAL       | total=5304.5ms | mode=NORMAL
2025-12-13T19:22:32.708781 [Step   3580] NORMAL       | total=5328.6ms | mode=NORMAL
2025-12-13T19:22:38.438777 [Step   3581] NORMAL       | total=5724.2ms | mode=NORMAL
2025-12-13T19:22:43.858681 [Step   3582] NORMAL       | total=5415.6ms | mode=NORMAL
2025-12-13T19:22:48.956388 [Step   3583] NORMAL       | total=5093.2ms | mode=NORMAL
2025-12-13T19:22:54.438840 [Step   3584] NORMAL       | total=5479.0ms | mode=NORMAL
2025-12-13T19:22:59.225980 [Step   3585] NORMAL       | total=4781.1ms | mode=NORMAL
2025-12-13T19:23:04.314160 [Step   3586] NORMAL       | total=5083.4ms | mode=NORMAL
2025-12-13T19:23:09.462846 [Step   3587] NORMAL       | total=5143.1ms | mode=NORMAL
2025-12-13T19:23:15.057645 [Step   3588] NORMAL       | total=5590.1ms | mode=NORMAL
2025-12-13T19:23:20.326114 [Step   3589] NORMAL       | total=5262.0ms | mode=NORMAL
2025-12-13T19:23:25.631708 [Step   3590] NORMAL       | total=5301.2ms | mode=NORMAL
2025-12-13T19:23:30.840605 [Step   3591] NORMAL       | total=5203.7ms | mode=NORMAL
2025-12-13T19:23:36.244464 [Step   3592] NORMAL       | total=5397.2ms | mode=NORMAL
2025-12-13T19:23:42.103961 [Step   3593] NORMAL       | total=5855.2ms | mode=NORMAL
2025-12-13T19:23:47.317956 [Step   3594] NORMAL       | total=5209.3ms | mode=NORMAL
2025-12-13T19:23:52.657261 [Step   3595] NORMAL       | total=5333.4ms | mode=NORMAL
2025-12-13T19:23:58.076654 [Step   3596] NORMAL       | total=5414.2ms | mode=NORMAL
2025-12-13T19:24:03.222671 [Step   3597] NORMAL       | total=5141.9ms | mode=NORMAL
2025-12-13T19:24:08.525104 [Step   3598] NORMAL       | total=5296.9ms | mode=NORMAL
2025-12-13T19:24:13.854181 [Step   3599] NORMAL       | total=5323.7ms | mode=NORMAL
2025-12-13T19:24:19.740359 [Step   3600] NORMAL       | total=5881.5ms | mode=NORMAL
2025-12-13T19:24:24.719397 [Step   3601] NORMAL       | total=4974.4ms | mode=NORMAL
2025-12-13T19:24:29.879179 [Step   3602] NORMAL       | total=5155.0ms | mode=NORMAL
2025-12-13T19:24:35.128430 [Step   3603] NORMAL       | total=5242.9ms | mode=NORMAL
2025-12-13T19:24:40.423559 [Step   3604] NORMAL       | total=5289.1ms | mode=NORMAL
2025-12-13T19:24:45.837589 [Step   3605] NORMAL       | total=5408.8ms | mode=NORMAL
2025-12-13T19:24:51.103640 [Step   3606] NORMAL       | total=5260.6ms | mode=NORMAL
2025-12-13T19:24:56.366685 [Step   3607] NORMAL       | total=5256.4ms | mode=NORMAL
2025-12-13T19:25:01.855506 [Step   3608] NORMAL       | total=5483.2ms | mode=NORMAL
2025-12-13T19:25:07.326420 [Step   3609] NORMAL       | total=5465.7ms | mode=NORMAL
2025-12-13T19:25:12.730652 [Step   3610] NORMAL       | total=5398.4ms | mode=NORMAL
2025-12-13T19:25:17.884961 [Step   3611] NORMAL       | total=5149.9ms | mode=NORMAL
2025-12-13T19:25:23.252932 [Step   3612] NORMAL       | total=5362.8ms | mode=NORMAL
2025-12-13T19:25:29.412329 [Step   3613] NORMAL       | total=6154.8ms | mode=NORMAL
2025-12-13T19:25:34.680484 [Step   3614] NORMAL       | total=5262.8ms | mode=NORMAL
2025-12-13T19:25:40.063870 [Step   3615] NORMAL       | total=5378.7ms | mode=NORMAL
2025-12-13T19:25:46.111945 [Step   3616] NORMAL       | total=6011.3ms | mode=NORMAL
2025-12-13T19:25:51.016092 [Step   3617] NORMAL       | total=4899.8ms | mode=NORMAL
2025-12-13T19:25:56.264838 [Step   3618] NORMAL       | total=5243.9ms | mode=NORMAL
2025-12-13T19:26:01.715276 [Step   3619] NORMAL       | total=5417.8ms | mode=NORMAL
2025-12-13T19:26:07.110671 [Step   3620] NORMAL       | total=5390.0ms | mode=NORMAL
2025-12-13T19:26:12.538942 [Step   3621] NORMAL       | total=5422.3ms | mode=NORMAL
2025-12-13T19:26:18.304165 [Step   3622] NORMAL       | total=5761.2ms | mode=NORMAL
